state,latitude,longitude,name,color
AK,63.588753,-154.493062,Alaska,#ED0A3F
AL,32.318231,-86.902298,Alabama,#FD0E35
AR,35.20105,-91.831833,Arkansas,#C62D42
AZ,34.048928,-111.093731,Arizona,#B94E48
CA,36.778261,-119.417932,California,#FE6F5E
CO,39.550051,-105.782067,Colorado,#FF7034
CT,41.603221,-73.087749,Connecticut,#FF681F
DC,38.905985,-77.033418,District of Columbia,#FF8833
DE,38.910832,-75.52767,Delaware,#FFB97B
FL,27.664827,-81.515754,Florida,#FFAE42
GA,32.157435,-82.907123,Georgia,#FCD667
HI,19.898682,-155.665857,Hawaii,#FBE870
IA,41.878003,-93.097702,Iowa,#F1E788
ID,44.068202,-114.742041,Idaho,#B5B35C
IL,40.633125,-89.398528,Illinois,#ECEBBD
IN,40.551217,-85.602364,Indiana,#C5E17A
KS,39.011902,-98.484246,Kansas,#7BA05B
KY,37.839333,-84.270018,Kentucky,#9DE093
LA,31.244823,-92.145024,Louisiana,#5FA777
MA,42.407211,-71.382437,Massachusetts,#93DFB8
MD,39.045755,-76.641271,Maryland,#00CCCC
ME,45.253783,-69.445469,Maine,#6CDAE7
MI,44.314844,-85.602364,Michigan,#76D7EA
MN,46.729553,-94.6859,Minnesota,#0095B7
MO,37.964253,-91.831833,Missouri,#009DC4
MS,32.354668,-89.398528,Mississippi,#02A4D3
MT,46.879682,-110.362566,Montana,#93CCEA
NC,35.759573,-79.0193,North Carolina,#0066FF
ND,47.551493,-101.002012,North Dakota,#A9B2C3
NE,41.492537,-99.901813,Nebraska,#C3CDE6
NH,43.193852,-71.572395,New Hampshire,#4F69C6
NJ,40.058324,-74.405661,New Jersey,#6456B7
NM,34.97273,-105.032363,New Mexico,#8359A3
NV,38.80261,-116.419389,Nevada,#C9A0DC
NY,43.299428,-74.217933,New York,#D6AEDD
OH,40.417287,-82.907123,Ohio,#E29CD2
OK,35.007752,-97.092877,Oklahoma,#8E3179
OR,43.804133,-120.554201,Oregon,#BB3385
PA,41.203322,-77.194525,Pennsylvania,#F653A6
PR,18.220833,-66.590149,Puerto Rico,#FF3399
RI,41.580095,-71.477429,Rhode Island,#FBAED2
SC,33.836081,-81.163725,South Carolina,#FFA6C9
SD,43.969515,-99.901813,South Dakota,#F7468A
TN,35.517491,-86.580447,Tennessee,#FC80A5
TX,31.968599,-99.901813,Texas,#F091A9
UT,39.32098,-111.093731,Utah,#FF91A4
VA,37.431573,-78.656894,Virginia,#CA3435
VT,44.558803,-72.577841,Vermont,#FEBAAD
WA,47.751074,-120.740139,Washington,#E97451
WI,43.78444,-88.787868,Wisconsin,#AF593E
WV,38.597626,-80.454903,West Virginia,#9E5B40
WY,43.075968,-107.290284,Wyoming,#DEA681
